A788;
A78B;A78E
A78F;
A790;A7DC
A7F1;A7F4
A7F5;A7F6
A7F7;
A7F8;A7F9
A7FA;
A7FB;A801
A802;
A803;A805
A806;
A807;A80A
A80B;
A80C;A822
A823;A824
A825;A826
A827;
A82C;
A840;A873
A880;A881
A882;A8B3
A8B4;A8C3
A8C4;A8C5
A8D0;A8D9
A8E0;A8F1
A8F2;A8F7
A8FB;
A8FD;A8FE
A8FF;
A900;A909
A90A;A925
A926;A92D
A930;A946
A947;A951
A952;A953
A960;A97C
A980;A982
A983;
A984;A9B2
A9B3;
A9B4;A9B5
A9B6;A9B9
A9BA;A9BB
A9BC;A9BD
A9BE;A9C0
A9CF;
A9D0;A9D9
A9E0;A9E4
A9E5;
A9E6;
A9E7;A9EF
A9F0;A9F9
A9FA;A9FE
AA00;AA28
AA29;AA2E
AA2F;AA30
AA31;AA32
AA33;AA34
AA35;AA36
AA40;AA42
AA43;
AA44;AA4B
AA4C;
AA4D;
AA50;AA59
AA60;AA6F
AA70;
AA71;AA76
AA7A;
AA7B;
AA7C;
AA7D;
AA7E;AAAF
AAB0;
AAB1;
AAB2;AAB4
AAB5;AAB6
AAB7;AAB8
AAB9;AABD
AABE;AABF
AAC0;
AAC1;
AAC2;
AADB;AADC
AADD;
AAE0;AAEA
AAEB;
AAEC;AAED
AAEE;AAEF
AAF2;
AAF3;AAF4
AAF5;
AAF6;
AB01;AB06
AB09;AB0E
AB11;AB16
AB20;AB26
AB28;AB2E
AB30;AB5A
AB5C;AB5F
AB60;AB68
AB69;
AB70;ABBF
ABC0;ABE2
ABE3;ABE4
ABE5;
ABE6;ABE7
ABE8;
ABE9;ABEA
ABEC;
ABED;
ABF0;ABF9
AC00;D7A3
D7B0;D7C6
D7CB;D7FB
F900;FA6D
FA70;FAD9
FB00;FB06
FB13;FB17
FB1D;
FB1E;
FB1F;FB28
FB2A;FB36
FB38;FB3C
FB3E;
FB40;FB41
FB43;FB44
FB46;FBB1
FBD3;FD3D
FD50;FD8F
FD92;FDC7
FDF0;FDFB
FE00;FE0F
FE20;FE2F
FE33;FE34
FE4D;FE4F
FE70;FE74
FE76;FEFC
FF10;FF19
FF21;FF3A
FF3F;
FF41;FF5A
FF65;
FF66;FF6F
FF70;
FF71;FF9D
FF9E;FF9F
FFA0;FFBE
FFC2;FFC7
FFCA;FFCF
FFD2;FFD7
FFDA;FFDC
10000;1000B
1000D;10026
10028;1003A
1003C;1003D
1003F;1004D
10050;1005D
10080;100FA
10140;10174
101FD;
10280;1029C
102A0;102D0
102E0;
10300;1031F
1032D;10340
10341;
10342;10349
1034A;
10350;10375
10376;1037A
10380;1039D
103A0;103C3
103C8;103CF
103D1;103D5
10400;1044F
10450;1049D
104A0;104A9
104B0;104D3
104D8;104FB
10500;10527
10530;10563
10570;1057A
1057C;1058A
1058C;10592
10594;10595
10597;105A1
105A3;105B1
105B3;105B9
105BB;105BC
105C0;105F3
10600;10736
10740;10755
10760;10767
10780;10785
10787;107B0
107B2;107BA
10800;10805
10808;
1080A;10835
10837;10838
1083C;
1083F;10855
10860;10876
10880;1089E
108E0;108F2
108F4;108F5
10900;10915
10920;10939
10940;10959
10980;109B7
109BE;109BF
10A00;
10A01;10A03
10A05;10A06
10A0C;10A0F
10A10;10A13
10A15;10A17
10A19;10A35
10A38;10A3A
10A3F;
10A60;10A7C
10A80;10A9C
10AC0;10AC7
10AC9;10AE4
10AE5;10AE6
10B00;10B35
10B40;10B55
10B60;10B72
10B80;10B91
10C00;10C48
10C80;10CB2
10CC0;10CF2
10D00;10D23
10D24;10D27
10D30;10D39
10D40;10D49
10D4A;10D4D
10D4E;
10D4F;
10D50;10D65
10D69;10D6D
10D6F;
10D70;10D85
10E80;10EA9
10EAB;10EAC
10EB0;10EB1
10EC2;10EC4
10EC5;
10EC6;10EC7
10EFA;10EFF
10F00;10F1C
10F27;
10F30;10F45
10F46;10F50
10F70;10F81
10F82;10F85
10FB0;10FC4
10FE0;10FF6
11000;
11001;
11002;
11003;11037
11038;11046
11066;1106F
11070;
11071;11072
11073;11074
11075;
1107F;11081
11082;
11083;110AF
110B0;110B2
110B3;110B6
110B7;110B8
110B9;110BA
110C2;
110D0;110E8
110F0;110F9
11100;11102
11103;11126
11127;1112B
1112C;
1112D;11134
11136;1113F
11144;
11145;11146
11147;
11150;11172
11173;
11176;
11180;11181
11182;
11183;111B2
111B3;111B5
111B6;111BE
111BF;111C0
111C1;111C4
111C9;111CC
111CE;
111CF;
111D0;111D9
111DA;
111DC;
11200;11211
11213;1122B
1122C;1122E
1122F;11231
11232;11233
11234;
11235;
11236;11237
1123E;
1123F;11240
11241;
11280;11286
11288;
1128A;1128D
1128F;1129D
1129F;112A8
112B0;112DE
112DF;
112E0;112E2
112E3;112EA
112F0;112F9
11300;11301
11302;11303
11305;1130C
1130F;11310
11313;11328
1132A;11330
11332;11333
11335;11339
1133B;1133C
1133D;
1133E;1133F
11340;
11341;11344
11347;11348
1134B;1134D
11350;
11357;
1135D;11361
11362;11363
11366;1136C
11370;11374
11380;11389
1138B;
1138E;
11390;113B5
113B7;
113B8;113BA
113BB;113C0
113C2;
113C5;
113C7;113CA
113CC;113CD
113CE;
113CF;
113D0;
113D1;
113D2;
113D3;
113E1;113E2
11400;11434
11435;11437
11438;1143F
11440;11441
11442;11444
11445;
11446;
11447;1144A
11450;11459
1145E;
1145F;11461
11480;114AF
114B0;114B2
114B3;114B8
114B9;
114BA;
114BB;114BE
114BF;114C0
114C1;
114C2;114C3
114C4;114C5
114C7;
114D0;114D9
11580;115AE
115AF;115B1
115B2;115B5
115B8;115BB
115BC;115BD
115BE;
115BF;115C0
115D8;115DB
115DC;115DD
11600;1162F
11630;11632
11633;1163A
1163B;1163C
1163D;
1163E;
1163F;11640
11644;
11650;11659
11680;116AA
116AB;
116AC;
116AD;
116AE;116AF
116B0;116B5
116B6;
116B7;
116B8;
116C0;116C9
116D0;116E3
11700;1171A
1171D;
1171E;
1171F;
11720;11721
11722;11725
11726;
11727;1172B
11730;11739
11740;11746
11800;1182B
1182C;1182E
1182F;11837
11838;
11839;1183A
118A0;118DF
118E0;118E9
118FF;11906
11909;
1190C;11913
11915;11916
11918;1192F
11930;11935
11937;11938
1193B;1193C
1193D;
1193E;
1193F;
11940;
11941;
11942;
11943;
11950;11959
119A0;119A7
119AA;119D0
119D1;119D3
119D4;119D7
119DA;119DB
119DC;119DF
119E0;
119E1;
119E3;
119E4;
11A00;
11A01;11A0A
11A0B;11A32
11A33;11A38
11A39;
11A3A;
11A3B;11A3E
11A47;
11A50;
11A51;11A56
11A57;11A58
11A59;11A5B
11A5C;11A89
11A8A;11A96
11A97;
11A98;11A99
11A9D;
11AB0;11AF8
11B60;
11B61;
11B62;11B64
11B65;
11B66;
11B67;
11BC0;11BE0
11BF0;11BF9
11C00;11C08
11C0A;11C2E
11C2F;
11C30;11C36
11C38;11C3D
11C3E;
11C3F;
